arm,sensor,treatment_site_id,counterfactual_site_id,rank,distance,n_shared_periods
main,sentinel1,treatment_0001,counterfactual_0003_03,1,13.052506517484542,8
main,sentinel1,treatment_0001,counterfactual_0006_04,2,13.269478642558814,8
main,sentinel1,treatment_0001,counterfactual_0010_03,3,13.274614819467455,8
main,sentinel1,treatment_0001,counterfactual_0006_02,4,13.278110205287014,8
main,sentinel1,treatment_0001,counterfactual_0003_01,5,13.281740354207814,8
main,sentinel1,treatment_0002,counterfactual_0002_01,1,12.964857410315235,8
main,sentinel1,treatment_0002,counterfactual_0006_03,2,13.091606901369737,8
main,sentinel1,treatment_0002,counterfactual_0001_05,3,13.098474088566835,8
main,sentinel1,treatment_0002,counterfactual_0007_01,4,13.123849681080355,8
main,sentinel1,treatment_0002,counterfactual_0010_04,5,13.12482041106648,8
main,sentinel1,treatment_0003,counterfactual_0006_01,1,12.659027788530622,8
main,sentinel1,treatment_0003,counterfactual_0008_03,2,12.852088329334649,8
main,sentinel1,treatment_0003,counterfactual_0006_05,3,12.908427964711784,8
main,sentinel1,treatment_0003,counterfactual_0004_01,4,12.94210382854877,8
main,sentinel1,treatment_0003,counterfactual_0003_05,5,12.958413899953445,8
main,sentinel1,treatment_0004,counterfactual_0005_05,1,13.042120176165534,8
main,sentinel1,treatment_0004,counterfactual_0001_01,2,13.138011795877981,8
main,sentinel1,treatment_0004,counterfactual_0002_03,3,13.163759178661447,8
main,sentinel1,treatment_0004,counterfactual_0006_02,4,13.164261072568921,8
main,sentinel1,treatment_0004,counterfactual_0010_03,5,13.169484101896707,8
main,sentinel1,treatment_0005,counterfactual_0006_01,1,12.953486298453281,8
main,sentinel1,treatment_0005,counterfactual_0005_03,2,12.988031224954801,8
main,sentinel1,treatment_0005,counterfactual_0004_05,3,13.005208559976452,8
main,sentinel1,treatment_0005,counterfactual_0010_04,4,13.0094548572531,8
main,sentinel1,treatment_0005,counterfactual_0001_04,5,13.019041368606587,8
main,sentinel1,treatment_0006,counterfactual_0006_04,1,13.08320554738934,8
main,sentinel1,treatment_0006,counterfactual_0009_01,2,13.114026964323589,8
main,sentinel1,treatment_0006,counterfactual_0003_03,3,13.139270960227297,8
main,sentinel1,treatment_0006,counterfactual_0010_01,4,13.232989130089916,8
main,sentinel1,treatment_0006,counterfactual_0010_05,5,13.24274272900195,8
main,sentinel1,treatment_0007,counterfactual_0006_05,1,12.791274071070003,8
main,sentinel1,treatment_0007,counterfactual_0003_02,2,12.960881249205666,8
main,sentinel1,treatment_0007,counterfactual_0008_03,3,13.081794055481337,8
main,sentinel1,treatment_0007,counterfactual_0008_01,4,13.152068899339802,8
main,sentinel1,treatment_0007,counterfactual_0007_03,5,13.191161107564854,4
main,sentinel1,treatment_0008,counterfactual_0006_05,1,12.917031768096336,8
main,sentinel1,treatment_0008,counterfactual_0005_03,2,12.948417000044376,8
